x,y
402.670303178,4588.913304481899
774.586863849,8777.740276377543
995.972689218,11280.627086947065
720.994419011,8162.8971693118665
373.046519504,4282.617294412978
91.3283382358,1117.311562442513
896.695197798,10115.274716107928
800.302519014,9054.11164198591
395.856624829,4511.2087041426685
373.794615509,4262.2729027836485
230.270645707,2630.584552589527
343.322172519,3902.517350210072
703.926307971,8012.189972909817
993.401680699,11272.469350723224
969.367105984,10975.966976692964
412.820455977,4688.883821481441
649.307492815,7391.555439593148
244.145505417,2777.0731441360012
937.396749461,10576.153859697557
